fecha,valor_real,valor_predicho
2018-11-04,167,169.22274696143833
2018-11-05,150,170.69163577138693
2018-11-06,149,167.4326254895026
2018-11-07,136,160.78517098416697
2018-11-08,132,153.35760865332176
2018-11-09,133,153.21024729939708
2018-11-10,140,152.03178980624983
2018-11-11,140,142.76879743876904
2018-11-12,138,139.87763655891732
2018-11-13,171,139.76712459555148
2018-11-14,144,141.9210245755562
2018-11-15,136,141.03376378205837
2018-11-16,143,144.42088283776204
2018-11-17,133,146.3443107890974
2018-11-18,115,140.82099148043216
2018-11-19,130,138.57711689876126
2018-11-20,153,141.64461002071909
2018-11-21,165,136.40262295491033
2018-11-22,168,135.8839479977226
2018-11-23,148,146.16130571487412
2018-11-24,141,147.62596161177512
2018-11-25,146,143.91807923608087
2018-11-26,171,148.98812668712577
2018-11-27,167,159.3384211638879
2018-11-28,169,158.33573395519676
2018-11-29,185,155.54476564063603
2018-11-30,181,162.26835487097566
2018-12-01,189,167.53308983766627
2018-12-02,204,170.358737347264
2018-12-03,203,180.48074066404232
2018-12-04,204,188.1078676683779
2018-12-05,214,190.87563230769447
2018-12-06,203,195.75866263220672
2018-12-07,207,201.57310152430475
2018-12-08,203,205.07326987945933
2018-12-09,190,203.46402339480863
2018-12-10,197,203.03380230090872
2018-12-11,200,204.27409167651578
2018-12-12,204,200.9263307807617
2018-12-13,150,197.6872308248887
2018-12-14,139,193.41915138115678
2018-12-15,146,185.22089975826475
2018-12-16,135,174.01248569153375
2018-12-17,151,165.8497159614233
2018-12-18,155,162.87663546846846
2018-12-19,169,155.6026571876111
2018-12-20,183,147.6607786113911
2018-12-21,173,155.30847204261005
2018-12-22,152,160.68635043423205
2018-12-23,143,158.452274745644
2018-12-24,145,160.5649214783501
2018-12-25,149,162.6260375379406
2018-12-26,147,159.7371046982907
2018-12-27,147,154.68460208351567
2018-12-28,146,152.0084950729697
2018-12-29,144,148.96115462836192
2018-12-30,143,144.2886302324665
2018-12-31,155,145.38295352015854
2019-01-01,151,150.16894809805962
2019-01-02,156,148.361341823814
2019-01-03,191,147.9409201543746
2019-01-04,194,157.8066990205887
2019-01-05,203,163.63609280799594
2019-01-06,206,169.4379625716118
2019-01-07,200,179.41845271568857
2019-01-08,212,187.47308291343845
2019-01-09,207,195.20795665526887
2019-01-10,213,202.0317952511454
2019-01-11,181,205.3537993906802
2019-01-12,167,203.97140435981538
2019-01-13,163,198.7075308958254
2019-01-14,151,191.19437825307077
2019-01-15,164,184.3249622707878
2019-01-16,170,178.36703665660207
2019-01-17,168,172.11731243584512
2019-01-18,168,165.6279692472702
2019-01-19,170,164.95159993000672
2019-01-20,167,165.41026257024367
2019-01-21,169,165.57059666000535
2019-01-22,156,169.66122099144894
2019-01-23,169,168.19867307906904
2019-01-24,174,166.24256363717012
2019-01-25,202,168.31491171253316
2019-01-26,202,172.36393339142765
2019-01-27,187,176.00076146560767
2019-01-28,197,179.52235187155867
2019-01-29,198,183.7795641770013
2019-01-30,206,188.91982489063724
2019-01-31,210,193.7818769426451
2019-02-01,202,201.34818597929012
2019-02-02,226,201.04091444826693
2019-02-03,189,203.2352628856595
2019-02-04,229,204.86790197477873
2019-02-05,244,208.99820500899668
2019-02-06,240,215.0361452609248
2019-02-07,226,219.9315974911933
2019-02-08,226,222.92482118105877
2019-02-09,212,226.54815368769732
2019-02-10,196,221.9717755248474
2019-02-11,196,224.5916361457846
2019-02-12,193,222.53564471916053
2019-02-13,196,212.11611344914942
2019-02-14,172,204.4497436789915
2019-02-15,169,200.48069656869825
2019-02-16,159,191.66234271089544
2019-02-17,151,181.0712234964852
2019-02-18,167,175.4296112442721
2019-02-19,175,174.24576483930923
2019-02-20,185,170.21371484081553
2019-02-21,194,167.1540409523806
2019-02-22,199,172.38735042221666
2019-02-23,188,176.7697718534578
2019-02-24,178,178.33801629148775
2019-02-25,177,183.84361828003304
2019-02-26,167,187.22143304209945
2019-02-27,173,183.33016092938706
2019-02-28,178,180.47684768004981
2019-03-01,167,180.34782132749697
2019-03-02,195,176.04703949708377
2019-03-03,190,175.55700007936272
2019-03-04,180,178.0826995785876
2019-03-05,211,179.83554270566233
2019-03-06,207,184.7184795967652
2019-03-07,218,188.12499853945903
2019-03-08,197,195.43643931852256
2019-03-09,193,201.85593799810098
2019-03-10,185,198.10767054429746
2019-03-11,182,197.58276643923188
2019-03-12,196,200.72959610525504
2019-03-13,192,197.4393660482724
2019-03-14,147,192.91124331743552
2019-03-15,153,185.5643710835946
2019-03-16,145,180.09218998516639
2019-03-17,157,169.89161824315963
2019-03-18,165,166.36157898535427
2019-03-19,186,166.93382942200864
2019-03-20,176,163.83265149895973
2019-03-21,168,158.37368491307416
2019-03-22,177,164.70414455249843
2019-03-23,164,169.45569271134835
2019-03-24,152,169.76968130642982
2019-03-25,171,172.41493734668092
2019-03-26,151,178.53377479567467
2019-03-27,159,173.54393951592726
2019-03-28,170,169.7510662926834
2019-03-29,174,175.6618341528955
